epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83142,0.89528,5.17243,2.58115,1.36669,0,0.0037,0.95238,0.12315,0.05589,0.00315,0.80952,0.03496,0.01679,0.54589,3.4627,2.78965,1.13363,0,8e-05,8e-05,8e-05
2,4.64903,0.84542,4.17379,2.5206,1.31858,0,0.0037,0.95238,0.63584,0.49572,0.00333,0.85714,0.57084,0.4818,0.42656,2.62929,2.71711,0.98986,0,0.000178218,0.000178218,0.000178218
3,5.43914,0.54185,1.20833,1.63999,1.11551,0,0.0037,0.95238,0.87116,0.68532,0.00333,0.85714,0.8481,0.66336,0.54886,3.10972,2.57603,1.05805,0,0.000274456,0.000274456,0.000274456
4,6.18577,0.44352,0.97573,0.98028,1.02006,0,0.0037,0.95238,0.68082,0.51403,0.00333,0.85714,0.67894,0.51185,0.64479,3.93696,2.75169,1.42677,0,0.000368714,0.000368714,0.000368714
5,6.93746,0.48135,0.77314,0.94283,1.05246,0,1,0.57553,0.86443,0.76953,1,0.57553,0.85525,0.79281,0.52156,2.67771,2.08321,0.91072,0,0.000460992,0.000460992,0.000460992
6,7.67388,0.51916,0.90023,0.88469,1.04982,0,0.94208,0.77513,0.87863,0.78112,0.94208,0.77513,0.84802,0.72783,0.45107,4.38396,1.58589,0.82529,0,0.00055129,0.00055129,0.00055129
7,8.42596,0.54443,0.95945,0.91978,1.07818,0,0.92616,0.57143,0.77013,0.62216,0.92616,0.57143,0.73301,0.52157,0.68556,3.91087,2.22679,1.1347,0,0.000639608,0.000639608,0.000639608
8,9.13478,0.46634,0.76294,0.84467,1.00626,0,1,0.75346,0.84217,0.73837,1,0.75346,0.81939,0.53528,0.55349,3.85294,1.66137,0.94312,0,0.000725946,0.000725946,0.000725946
9,9.92472,0.48926,0.79703,0.81476,1.02064,0,0.99464,0.80952,0.86634,0.73543,0.99464,0.80952,0.8481,0.75397,0.60614,3.67599,1.6373,1.10491,0,0.000810304,0.000810304,0.000810304
10,10.6349,0.47733,0.76502,0.76733,1.00995,0,0.94542,0.85714,0.89974,0.79663,0.89263,0.80952,0.8011,0.6528,0.40788,4.55283,1.35289,0.79402,0,0.000892682,0.000892682,0.000892682
11,11.3335,0.5104,0.66858,0.75543,1.04321,0,0.94028,0.85714,0.85753,0.7091,0.9136,0.66667,0.70373,0.54306,0.71314,4.9635,1.61587,1.19339,0,0.00097308,0.00097308,0.00097308
12,12.0858,0.52264,0.7529,0.8085,1.04327,0,0.99416,0.85714,0.85602,0.7252,0.93861,0.80952,0.80309,0.50722,0.64853,5.61027,1.30004,1.20425,0,0.0010515,0.0010515,0.0010515
13,12.7926,0.46681,0.66283,0.71463,1.00447,0,0.996,0.85714,0.85671,0.73985,0.996,0.85714,0.85525,0.74138,0.57695,6.40035,1.28939,1.04568,0,0.00112794,0.00112794,0.00112794
14,13.5633,0.46291,0.6656,0.71931,1.01208,0,0.98429,0.85714,0.8562,0.79514,0.98429,0.85714,0.85525,0.74547,0.52303,6.27162,1.36888,0.89203,0,0.00120239,0.00120239,0.00120239
15,14.3089,0.56422,0.7007,0.78212,1.09538,0,0.94729,0.85584,0.86682,0.82107,0.94729,0.85584,0.85261,0.79306,0.44428,5.25218,1.25014,0.80994,0,0.00127487,0.00127487,0.00127487
16,15.0377,0.50703,0.63767,0.74852,1.0415,0,0.9293,0.7619,0.81668,0.76676,0.9293,0.7619,0.80644,0.73871,0.43536,4.80701,1.28472,0.80466,0,0.00134537,0.00134537,0.00134537
17,15.787,0.50884,0.65806,0.74261,1.01586,0,0.89077,0.90476,0.8906,0.73875,0.8756,0.85714,0.84261,0.75421,0.58937,4.69308,1.48467,0.9544,0,0.00141389,0.00141389,0.00141389
18,16.5261,0.52562,0.6346,0.71121,1.02963,0,0.98183,0.85714,0.86271,0.76245,0.98183,0.85714,0.85525,0.73324,0.4497,3.9193,0.94782,0.83814,0,0.00148043,0.00148043,0.00148043
19,17.242,0.48351,0.67075,0.66079,1.03669,0,0.89628,0.85714,0.88585,0.65366,0.89628,0.85714,0.84261,0.62126,0.7016,3.62892,1.27784,1.20249,0,0.00154498,0.00154498,0.00154498
20,17.9734,0.51478,0.69978,0.67242,1.04727,0,0.96184,0.80952,0.85603,0.60265,0.96184,0.80952,0.85025,0.63393,1.24939,5.44754,1.32868,2.08305,0,0.00160756,0.00160756,0.00160756
21,17.2299,0.52189,0.81368,0.62039,1.03116,0,0.99691,0.85714,0.86113,0.68953,0.99691,0.85714,0.85525,0.73565,0.79306,6.60684,1.12913,1.3571,0,0.001604,0.001604,0.001604
22,18.066,0.52251,0.76459,0.68411,1.05245,0,0.96573,0.85714,0.86226,0.67006,0.96573,0.85714,0.85525,0.7443,0.94652,5.20205,1.41561,1.55531,0,0.0015842,0.0015842,0.0015842
23,18.8502,0.47685,0.79668,0.61278,1.02018,0,0.88514,0.71429,0.81874,0.55207,0.88514,0.71429,0.79576,0.5843,0.96467,4.31128,1.64945,1.42721,0,0.0015644,0.0015644,0.0015644
24,19.5897,0.45184,0.62695,0.60122,1.0161,0,0.99616,0.85714,0.85731,0.70718,0.99616,0.85714,0.85525,0.72371,0.65299,4.51812,0.96752,1.05338,0,0.0015446,0.0015446,0.0015446
25,20.3156,0.49089,0.83828,0.61661,1.05057,0,0.92554,0.85714,0.87575,0.62996,0.92554,0.85714,0.85261,0.71032,0.72613,4.13057,1.16736,1.11248,0,0.0015248,0.0015248,0.0015248
26,21.0759,0.44314,0.62189,0.57706,1.02889,0,0.857,0.85714,0.86261,0.61458,0.857,0.85714,0.85525,0.68135,0.70095,3.6131,1.23094,1.07663,0,0.001505,0.001505,0.001505
