epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28349,1.04036,2.68695,9.05436,1.33283,0,0.00088,0.90476,0.16321,0.07383,0.00079,0.80952,0.12552,0.06301,1.25338,3.10923,25.4565,1.51875,0,0.000651852,0.000651852,0.000651852
2,13.7051,1.29681,2.34581,4.91456,1.4981,0,0.10647,0.25397,0.08816,0.02435,0.11312,0.26984,0.09301,0.03342,1.75263,4.52425,36.2028,2.18451,0,0.00130547,0.00130547,0.00130547
3,19.0333,1.46163,2.43258,4.52974,1.64647,0,0.11488,0.39683,0.09289,0.03315,0.13326,0.46032,0.11093,0.03383,1.53624,4.03563,176.336,2.55812,0,0.00194588,0.00194588,0.00194588
4,21.5477,1.62736,2.65674,3.71017,1.74012,0,0.11984,0.09084,0.07913,0.02778,0.09889,0.07497,0.07906,0.02375,1.55395,3.62712,7.22648,2.05547,0,0.0019406,0.0019406,0.0019406
5,26.2275,1.51843,2.43155,3.9879,1.63045,0,0.19891,0.2381,0.12904,0.04724,0.20409,0.25397,0.13003,0.05075,1.59704,2.99226,44.2467,2.01147,0,0.0019208,0.0019208,0.0019208
6,30.9479,1.48209,2.46002,2.6485,1.6335,0,0.39792,0.19048,0.23129,0.08832,0.33333,0.1746,0.20022,0.08906,1.40588,2.61151,16.4736,1.75787,0,0.001901,0.001901,0.001901
7,35.5504,1.38599,2.29548,3.05976,1.56449,0,0.29998,0.36508,0.22897,0.10912,0.29035,0.39683,0.25596,0.11819,1.42564,2.16817,12.7119,1.8507,0,0.0018812,0.0018812,0.0018812
8,40.3326,1.44555,2.43107,2.41164,1.60538,0,0.32319,0.31836,0.26077,0.09939,0.30958,0.30159,0.22483,0.09921,1.25895,2.21053,5.58635,1.51209,0,0.0018614,0.0018614,0.0018614
9,45.5227,1.35877,2.21757,2.90669,1.54968,0,0.24279,0.39683,0.18148,0.07629,0.25185,0.39683,0.17859,0.06953,1.30437,2.20863,8.79159,1.67707,0,0.0018416,0.0018416,0.0018416
10,50.6498,1.40682,2.07718,2.55129,1.59429,0,0.4002,0.57143,0.48716,0.26386,0.4002,0.57143,0.48668,0.2612,1.26341,2.16053,2.4198,1.65986,0,0.0018218,0.0018218,0.0018218
11,53.2517,1.32397,1.98907,2.0768,1.55724,0,0.34872,0.28571,0.2655,0.13609,0.34872,0.28571,0.26665,0.14091,1.26751,2.12595,2.76466,1.52519,0,0.001802,0.001802,0.001802
12,58.3459,1.36673,2.12234,2.10352,1.55207,0,0.45295,0.33333,0.38005,0.18052,0.46929,0.33333,0.38648,0.17607,1.29214,2.03322,3.83828,1.66683,0,0.0017822,0.0017822,0.0017822
13,63.3348,1.38027,2.23587,2.58925,1.55506,0,0.33149,0.52381,0.32857,0.13812,0.32445,0.52381,0.3284,0.14859,1.20505,2.04258,2.4882,1.51604,0,0.0017624,0.0017624,0.0017624
14,68.0701,1.25719,1.98926,1.98868,1.49334,0,0.7422,0.33333,0.43433,0.21619,0.7422,0.33333,0.43302,0.21001,1.2101,2.17942,2.89787,1.54045,0,0.0017426,0.0017426,0.0017426
15,72.8078,1.2807,1.83938,2.00928,1.49346,0,0.46258,0.35531,0.33818,0.17076,0.46258,0.35531,0.34489,0.17274,1.20344,1.89042,5.56996,1.49161,0,0.0017228,0.0017228,0.0017228
