epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8657,1.62762,3.18832,7.39083,1.7902,0,0.00256,0.01587,0.00062,0.00017,0.00022,0.01587,0.00013,2e-05,2.44161,111.367,47.1203,8.41006,0,0.000659176,0.000659176,0.000659176
2,27.8272,1.99062,2.77366,3.78156,2.13307,0,5e-05,0.04762,2e-05,0,0,0,0,0,2.32019,nan,nan,42.4652,0,0.00131272,0.00131272,0.00131272
3,37.8167,2.19179,3.04639,3.88058,2.40825,0,0.00104,0.71429,0.00254,0.00054,0.00123,0.84127,0.00285,0.0008,2.54138,3.86577,4.59292,4.84667,0,0.00195306,0.00195306,0.00195306
4,50.3524,2.17697,2.80268,3.75571,2.32367,0,0.00131,0.04762,0.00071,0.00035,0.00018,0.07937,0.0001,3e-05,2.38645,626.702,2377.21,48.2689,0,0.0019406,0.0019406,0.0019406
5,60.4015,2.1021,2.66502,3.55432,2.18522,0,0.00683,0.52381,0.02875,0.00608,0.00179,0.42857,0.01326,0.00612,1.97383,2.64167,7.31754,2.81171,0,0.0019208,0.0019208,0.0019208
6,73.197,2.16457,2.7852,3.48073,2.29746,0,0.00907,0.87302,0.1185,0.04268,0.00874,0.84127,0.11485,0.04467,1.7593,2.3047,2.9865,2.08322,0,0.001901,0.001901,0.001901
7,85.6099,1.99309,2.58721,3.4727,2.14498,0,0.00209,0.53968,0.00446,0.00116,0.00222,0.57143,0.01094,0.0021,1.75601,2.48242,8.86214,2.39559,0,0.0018812,0.0018812,0.0018812
8,95.4617,2.0435,2.77962,3.2543,2.20928,0,0.05106,0.20635,0.0456,0.01491,0.03058,0.12698,0.02263,0.00438,2.10424,4.38585,3.65541,2.35171,0,0.0018614,0.0018614,0.0018614
9,107.798,1.93702,2.7283,3.11877,2.09597,0,0.13697,0.15622,0.0836,0.02575,0.13131,0.14286,0.07848,0.02999,1.80486,2.29638,2.94548,2.06022,0,0.0018416,0.0018416,0.0018416
10,120.441,1.90628,2.36389,2.88959,2.10474,0,0.02742,0.71429,0.159,0.06402,0.02377,0.61905,0.14059,0.06097,1.53274,2.32129,2.45513,1.90286,0,0.0018218,0.0018218,0.0018218
11,130.683,1.75898,2.47632,2.88091,1.95671,0,0.25299,0.07937,0.10755,0.04015,0.25299,0.07937,0.10409,0.04784,1.66027,2.16208,2.86448,2.01815,0,0.001802,0.001802,0.001802
12,143.348,1.82398,2.36014,2.76928,2.04295,0,0.37546,0.2381,0.24153,0.10355,0.39531,0.2595,0.2276,0.11454,1.34436,2.07862,2.26493,1.77505,0,0.0017822,0.0017822,0.0017822
13,153.46,1.83293,2.50576,2.75055,2.00841,0,0.10941,0.42857,0.12176,0.03755,0.09986,0.38095,0.10648,0.03153,1.60245,3.0489,22.7587,1.92725,0,0.0017624,0.0017624,0.0017624
14,165.711,1.72391,2.36539,2.85918,1.91545,0,0.2595,0.30159,0.19366,0.07893,0.25618,0.28571,0.19749,0.07852,1.53788,2.1752,2.84572,1.86062,0,0.0017426,0.0017426,0.0017426
15,177.924,1.68642,2.23575,2.73388,1.82977,0,0.215,0.39683,0.21883,0.06363,0.2064,0.38095,0.22332,0.07765,1.47961,2.17585,4.57748,1.86875,0,0.0017228,0.0017228,0.0017228
16,187.73,1.71737,2.23226,2.72773,1.87484,0,0.07799,0.47619,0.08777,0.0298,0.06955,0.44444,0.07884,0.03119,1.45503,2.28674,6.22271,1.87107,0,0.001703,0.001703,0.001703
17,199.911,1.70605,2.29201,2.71765,1.89756,0,0.2065,0.26984,0.22056,0.10142,0.2132,0.26984,0.2167,0.10631,1.44827,2.08357,2.32934,1.88381,0,0.0016832,0.0016832,0.0016832
18,209.756,1.73865,2.25586,2.49993,1.90842,0,0.22394,0.14286,0.13616,0.05479,0.22394,0.14286,0.1187,0.05959,1.63683,2.47693,2.81816,1.9607,0,0.0016634,0.0016634,0.0016634
19,221.642,1.72818,2.14637,2.52665,1.81318,0,0.31024,0.22222,0.18578,0.08623,0.31024,0.22222,0.17486,0.0848,1.49246,2.12289,3.94439,1.83053,0,0.0016436,0.0016436,0.0016436
20,234.094,1.74105,2.47858,2.64799,1.88748,0,0.45949,0.22952,0.27846,0.12998,0.37501,0.22222,0.26925,0.14726,1.4152,2.01348,2.09579,1.80397,0,0.0016238,0.0016238,0.0016238
21,243.761,1.58362,2.07314,2.25545,1.76847,0,0.62792,0.22222,0.34991,0.15211,0.62792,0.22222,0.3411,0.15469,1.48169,1.82333,1.95574,1.85653,0,0.001604,0.001604,0.001604
22,256.099,1.71356,2.21495,2.48267,1.82326,0,0.51712,0.36508,0.35894,0.15532,0.54292,0.38095,0.37246,0.15996,1.55102,1.95787,5.40876,1.85833,0,0.0015842,0.0015842,0.0015842
23,268.282,1.52873,2.00071,2.35804,1.64763,0,0.55984,0.26984,0.33623,0.17018,0.55984,0.26984,0.32941,0.15615,1.38059,1.99545,2.14692,1.74688,0,0.0015644,0.0015644,0.0015644
24,278.08,1.59237,2.29271,2.395,1.81109,0,0.51979,0.25397,0.33613,0.14779,0.51979,0.25397,0.32761,0.15981,1.46314,1.8673,2.14362,1.78685,0,0.0015446,0.0015446,0.0015446
25,290.324,1.51445,2.14766,2.19178,1.69814,0,0.6142,0.36508,0.37858,0.16642,0.60598,0.34921,0.3607,0.16013,1.29503,1.84829,5.09023,1.71338,0,0.0015248,0.0015248,0.0015248
26,300.078,1.55624,2.08609,2.25867,1.78846,0,0.52726,0.36508,0.32319,0.14743,0.50346,0.34921,0.31071,0.15851,1.29144,1.87102,5.90315,1.6977,0,0.001505,0.001505,0.001505
27,312.468,1.58909,2.3258,2.20707,1.75973,0,0.68569,0.27719,0.4288,0.24039,0.68569,0.27719,0.4273,0.24006,1.28844,1.82152,2.13632,1.61982,0,0.0014852,0.0014852,0.0014852
28,324.844,1.50897,2.11752,2.21274,1.75388,0,0.51135,0.33223,0.43529,0.21779,0.55011,0.30159,0.42392,0.20156,1.32901,1.76144,2.34006,1.68826,0,0.0014654,0.0014654,0.0014654
